fullVisitorID,browser,operatingSystem,deviceCategory
7194065619159478122,Internet Explorer,Windows,desktop
8159312408158297118,Chrome,Windows,desktop
9236304747882138291,Chrome,Macintosh,desktop
1792676004815023069,Firefox,Windows,desktop
7305625498291809599,Internet Explorer,Windows,desktop
5378233269828404918,Chrome,Windows,desktop
5270776363703942229,Chrome,Windows,desktop
8470886127234408497,Chrome,Windows,desktop
8861555771453791094,Edge,Windows,desktop
8295804655007281109,Opera,Windows,desktop
0018526595751613673,Chrome,Android,mobile
625481915509878217,Chrome,Windows,desktop
1374370622285576102,Chrome,Windows,desktop
0092183247509236158,Chrome,Windows,desktop
9333094893297665795,Chrome,Windows,desktop
1621472397271519979,Chrome,Android,mobile
0831372147340640012,Chrome,Macintosh,desktop
9144533028617712380,Chrome,Windows,desktop
5345363805648300707,Chrome,Windows,desktop
8602954012826759505,Opera,Windows,desktop
2365782199498528299,Chrome,Macintosh,desktop
5636536798768846801,Firefox,Linux,desktop
8159312408158297118,Chrome,Windows,desktop
4993485206334150199,Safari,Macintosh,desktop
0333020190932309428,Safari,iOS,tablet
4853490478802253419,Chrome,Windows,desktop
5140493641776291415,Chrome,Macintosh,desktop
1133489829802371861,Safari (in-app),iOS,mobile
1730677701874729626,Chrome,Windows,desktop
3662205194729528989,Chrome,Windows,desktop
6870422387229180122,Safari (in-app),iOS,mobile
0794931300984810764,Chrome,Linux,desktop
5160807529212499245,Chrome,Windows,desktop
0047614564270023403,Firefox,Macintosh,desktop
6137206948447331806,Chrome,Chrome OS,desktop
5106315619134282281,Chrome,Windows,desktop
1099720071861739539,Safari,iOS,mobile
3787134985295919795,Chrome,iOS,mobile
1343892784443318387,Safari,iOS,tablet
825509565309716229,Chrome,Windows,desktop
0486562139346467089,Chrome,Android,mobile
8743175383102521583,Chrome,Windows,desktop
999700442444678323,Chrome,Chrome OS,desktop
9035306047185052141,Chrome,Windows,desktop
8698531054438587635,Chrome,Android,tablet
0640111497078551143,Safari,iOS,tablet
4530126874298409636,Chrome,Windows,desktop
0344452283390306758,Safari,iOS,mobile
0382398254804709368,Chrome,Android,mobile
8568474718223370752,Chrome,Macintosh,desktop
558025075151655343,Chrome,Android,mobile
5392755432370247158,Firefox,Windows,desktop
3751823672052015547,Chrome,Windows,desktop
9017498520228491211,Firefox,Windows,desktop
8846289716943240767,Chrome,Windows,desktop
6787410765100329612,Safari,Macintosh,desktop
3744175328919003297,Safari,iOS,mobile
6219287332213749748,Chrome,Android,mobile
0721240306323694297,Chrome,Windows,desktop
3731478369788901995,Safari,Macintosh,desktop
0823708422231226277,Chrome,Chrome OS,desktop
