fullVisitorID,continent,subContinent,country
7194065619159478122,Americas,Northern America,United States
8159312408158297118,Americas,Northern America,United States
9236304747882138291,Asia,Southeast Asia,Philippines
1792676004815023069,Americas,Northern America,Canada
7305625498291809599,Americas,Northern America,United States
5378233269828404918,Americas,Northern America,United States
5270776363703942229,Americas,Northern America,United States
8470886127234408497,Americas,Northern America,Canada
8861555771453791094,Americas,Northern America,United States
8295804655007281109,Asia,Southern Asia,Bangladesh
0018526595751613673,Asia,Southern Asia,India
625481915509878217,Asia,Southeast Asia,Philippines
1374370622285576102,Asia,Western Asia,Armenia
0092183247509236158,Asia,Southern Asia,Sri Lanka
9333094893297665795,Oceania,Australasia,Australia
1621472397271519979,Americas,Northern America,United States
0831372147340640012,Europe,Northern Europe,United Kingdom
9144533028617712380,Americas,Northern America,United States
5345363805648300707,Americas,Northern America,United States
8602954012826759505,Americas,Northern America,United States
2365782199498528299,Americas,Northern America,United States
5636536798768846801,Americas,Northern America,United States
8159312408158297118,Americas,Northern America,United States
4993485206334150199,Americas,Northern America,United States
0333020190932309428,Americas,Northern America,United States
4853490478802253419,Americas,Northern America,United States
5140493641776291415,Americas,Northern America,United States
1133489829802371861,Americas,Northern America,United States
1730677701874729626,Americas,Central America,Mexico
3662205194729528989,Americas,Northern America,United States
6870422387229180122,Americas,Northern America,United States
0794931300984810764,Americas,Northern America,United States
5160807529212499245,Europe,Eastern Europe,Poland
0047614564270023403,Americas,Northern America,United States
6137206948447331806,Asia,Southern Asia,India
5106315619134282281,Americas,Northern America,United States
1099720071861739539,Americas,Northern America,United States
3787134985295919795,Americas,Northern America,United States
1343892784443318387,Americas,Northern America,United States
825509565309716229,Americas,Northern America,United States
0486562139346467089,Europe,Northern Europe,United Kingdom
8743175383102521583,Europe,Eastern Europe,Czechia
999700442444678323,Americas,Northern America,United States
9035306047185052141,Americas,Northern America,United States
8698531054438587635,Americas,Northern America,United States
0640111497078551143,Americas,Northern America,United States
4530126874298409636,Americas,Northern America,United States
0344452283390306758,Europe,Western Europe,Austria
0382398254804709368,Americas,Northern America,United States
8568474718223370752,Americas,Northern America,United States
558025075151655343,Americas,Northern America,United States
5392755432370247158,Europe,Southern Europe,Italy
3751823672052015547,Americas,Northern America,United States
9017498520228491211,Americas,Northern America,United States
8846289716943240767,Europe,Western Europe,Germany
6787410765100329612,Americas,Northern America,United States
3744175328919003297,Americas,Northern America,United States
6219287332213749748,Oceania,Australasia,Australia
0721240306323694297,Americas,Northern America,United States
3731478369788901995,Europe,Western Europe,Austria
0823708422231226277,Americas,Northern America,United States
8436426603099391262,Americas,Northern America,United States
5221215576603815484,Americas,Central America,Mexico
6981691734539296402,Asia,Eastern Asia,Japan
121295653097861536,Americas,Northern America,United States
3787134985295919795,Americas,Northern America,United States
6062692528026913835,Americas,Northern America,United States
5820481070166950233,Americas,Northern America,United States
6202551162320501793,Asia,Southeast Asia,Indonesia
6359841587657357338,Americas,Northern America,United States
7545615511078513943,Americas,Northern America,United States
5882258963347216049,Oceania,Australasia,Australia
1188397610560498241,Americas,Northern America,United States
7009176709240157276,Americas,Northern America,United States
2869886758561013518,Americas,Northern America,United States
584186909754430703,Americas,Northern America,United States
5622119904627470425,Americas,Northern America,United States
0824839726118485274,Americas,Northern America,United States
8675769146751606586,Europe,Northern Europe,United Kingdom
4904969714374913266,Asia,Southern Asia,India
3970991392089882251,Americas,Northern America,United States
9872679951861022740,Americas,Northern America,United States
3463054183716306407,Americas,Northern America,United States
7275493482741180809,Americas,Northern America,United States
6637957997898535918,Americas,Northern America,United States
6362237262934311328,Americas,Northern America,United States
9065074234812691512,Americas,Northern America,United States
9878962654812700271,Americas,Northern America,United States
5231073281895209426,Americas,Northern America,United States
6842770750697615080,Asia,Western Asia,Turkey
9190094819702613002,Americas,Northern America,United States
8952006223234542590,Asia,Southern Asia,India
7428592908976647992,Americas,Northern America,United States
7157626079567895669,Americas,Northern America,United States
358293611905184240,Asia,Southeast Asia,Philippines
8825722961059493275,Europe,Northern Europe,United Kingdom
5193965013430455128,Americas,Northern America,United States
0793874482369095202,Americas,Northern America,United States
1817256435818850257,Americas,Northern America,United States
4005605575873365444,Americas,Northern America,United States
2509714289037323244,Americas,Northern America,United States
4642712737855870554,Americas,Northern America,United States
3843819088097691729,Americas,Northern America,United States
9993178476401172532,Americas,Northern America,Canada
1060857658642961259,Americas,Central America,Mexico
1439150231069374974,Americas,Northern America,United States
674626656635666685,Asia,Southern Asia,India
1368220609907191551,Americas,Northern America,United States
9682363348505503136,Americas,Northern America,United States
4890176689513443468,Americas,Northern America,United States
