fullVisitorID,visitNumber,visitStartTime,socialEngagementType,channelGrouping
7194065619159478122,1,1470117657,Not Socially Engaged,Social
8159312408158297118,151,1470083489,Not Socially Engaged,Social
9236304747882138291,1,1470052694,Not Socially Engaged,Social
1792676004815023069,1,1470061879,Not Socially Engaged,Social
7305625498291809599,1,1470090830,Not Socially Engaged,Social
5378233269828404918,1,1470077855,Not Socially Engaged,Social
5270776363703942229,1,1470084135,Not Socially Engaged,Social
8470886127234408497,1,1470074645,Not Socially Engaged,Social
8861555771453791094,1,1470091947,Not Socially Engaged,Social
8295804655007281109,1,1470077612,Not Socially Engaged,Social
0018526595751613673,1,1470051070,Not Socially Engaged,Social
625481915509878217,1,1470084347,Not Socially Engaged,Social
1374370622285576102,1,1470043385,Not Socially Engaged,Social
0092183247509236158,1,1470078508,Not Socially Engaged,Social
9333094893297665795,1,1470119236,Not Socially Engaged,Social
1621472397271519979,1,1470048837,Not Socially Engaged,Social
0831372147340640012,1,1470046098,Not Socially Engaged,Social
9144533028617712380,1,1470075806,Not Socially Engaged,Social
5345363805648300707,1,1470090979,Not Socially Engaged,Social
8602954012826759505,1,1470079701,Not Socially Engaged,Social
2365782199498528299,1,1470063441,Not Socially Engaged,Social
5636536798768846801,1,1470118373,Not Socially Engaged,Social
8159312408158297118,152,1470108789,Not Socially Engaged,Social
4993485206334150199,1,1470106850,Not Socially Engaged,Social
0333020190932309428,1,1470088506,Not Socially Engaged,Social
4853490478802253419,1,1470109544,Not Socially Engaged,Social
5140493641776291415,1,1470079602,Not Socially Engaged,Social
1133489829802371861,1,1470079349,Not Socially Engaged,Social
1730677701874729626,1,1470073888,Not Socially Engaged,Social
3662205194729528989,3,1470065253,Not Socially Engaged,Social
6870422387229180122,1,1470082876,Not Socially Engaged,Social
0794931300984810764,5,1470088659,Not Socially Engaged,Social
5160807529212499245,1,1470057647,Not Socially Engaged,Social
0047614564270023403,1,1470088400,Not Socially Engaged,Social
6137206948447331806,5,1470083399,Not Socially Engaged,Social
5106315619134282281,7,1470073704,Not Socially Engaged,Referral
